"Superfamily","Family","Scientific Name","TVK","Rank","Red List Status","Red List Supporting Criteria","Synanthropically Present","Endemic","Category Change","National Rarity","Generational Time","% Population Change","Extent of Occurrence","Area of Occupancy","Hectad","Continuing Decline","Severely Fragmented","Presence England","Presence Scotland","Presence Wales","Rationale"
"Apoidea","Apidae","Andrena bucephala: iso. Perkins: 1919","","Species","LC","A2bc
B1ab
B2ab
D2","false","false","Non-genuine","NF",1,25.0,95150.0,912.0,167.0,"true","false","true","false","true","The most threatening accepted population change estimate is 25.0% (discrete Extent of Occurrence), which does not exceed the 30% decline required for qualification as VU under Criterion A. The EoO (95,150 km²) exceeds the 20,000 km² VU threshold for criterion B1 and does not satisfy sufficient subcriteria to reach a threat status, and the AoO (912 km²) is below the 2,000 km² VU threshold for criterion B2 but does not satisfy sufficient subcriteria to reach a threat status. For Criterion D2, the number of locations was greater than 5 and there is no plausible threat that could drive the taxon to CR or RE in a very short time. No information was available on population size to inform assessments against Criteria C and D1; nor were any life-history models available to inform an assessment against Criterion E.

"
"Apoidea","Apidae","Andrena chrysosceles: iso. Perkins: 1919","","Species","LC","A2bc
B1ab
B2ab
D2","false","false","Non-genuine","NF",1,10.0,221250.0,7276.0,825.0,"true","false","true","true","true","The most threatening accepted population change estimate is 10.0% (discrete Extent of Occurrence), which does not exceed the 30% decline required for qualification as VU under Criterion A. The EoO (221,250 km²) exceeds the 20,000 km² VU threshold for criterion B1 and does not satisfy sufficient subcriteria to reach a threat status, and the AoO (7,276 km²) exceeds the 2,000 km² VU threshold for criterion B2 and does not satisfy sufficient subcriteria to reach a threat status. For Criterion D2, the number of locations was greater than 5 and there is no plausible threat that could drive the taxon to CR or RE in a very short time. No information was available on population size to inform assessments against Criteria C and D1; nor were any life-history models available to inform an assessment against Criterion E.

"
"Apoidea","Apidae","Andrena cineraria: iso. Perkins: 1919","","Species","LC","A2bc
A3b
B1ab
B2ab
D2","false","false","Non-genuine","NF",1,6.0,287150.0,7208.0,868.0,"true","false","true","true","true","The most threatening accepted population change estimate is 6.0% (tetrad area), which does not exceed the 30% decline required for qualification as VU under Criterion A. The EoO (287,150 km²) exceeds the 20,000 km² VU threshold for criterion B1 and does not satisfy sufficient subcriteria to reach a threat status, and the AoO (7,208 km²) exceeds the 2,000 km² VU threshold for criterion B2 and does not satisfy sufficient subcriteria to reach a threat status. For Criterion D2, the number of locations was greater than 5 and there is no plausible threat that could drive the taxon to CR or RE in a very short time. No information was available on population size to inform assessments against Criteria C and D1; nor were any life-history models available to inform an assessment against Criterion E.

"
"Apoidea","Apidae","Andrena clarkella: iso. Perkins: 1919","","Species","LC","A2bc
B1ab
B2ab
D2","false","false","Non-genuine","NF",1,-4.0,415600.0,3608.0,525.0,"true","false","true","true","true","The most threatening accepted population change estimate is -4.0% (absolute record count), which does not exceed the 30% decline required for qualification as VU under Criterion A. The EoO (415,600 km²) exceeds the 20,000 km² VU threshold for criterion B1 and does not satisfy sufficient subcriteria to reach a threat status, and the AoO (3,608 km²) exceeds the 2,000 km² VU threshold for criterion B2 and does not satisfy sufficient subcriteria to reach a threat status. For Criterion D2, the number of locations was greater than 5 and there is no plausible threat that could drive the taxon to CR or RE in a very short time. No information was available on population size to inform assessments against Criteria C and D1; nor were any life-history models available to inform an assessment against Criterion E.

"
"Apoidea","Apidae","Andrena coitana: iso. Perkins: 1919","","Species","NT","A2bc
A3b","false","false","Non-genuine","NF",1,-10.0,367650.0,496.0,116.0,"true","false","true","true","true","The most threatening accepted population change estimate is -10.0% (raw record count), which does not exceed the 30% decline required for qualification as VU under Criterion A. However, expert inference noted that the taxon appears to be retreating northwards, even with the overall bias towards southern sampling present in the aculeates. The very low data volume makes any attempt at precise estimation impossible, though this inference was unanimously supported by wider peer review. The suspected mechanic for this shift is the warming climate, though again the details of how are unknown. Given the lack of data to support a 30% decline, coupled with the overall concern at a longer-term downward trend, this taxon has been placed in NT to encapsulate the inferred risk of continued decline as temperatures increase.

The EoO (367,650 km²) exceeds the 20,000 km² VU threshold for criterion B1 and does not satisfy sufficient subcriteria to reach a threat status, and the AoO (496 km²) is below the 2,000 km² VU threshold for criterion B2 but does not satisfy sufficient subcriteria to reach a threat status. For Criterion D2, the number of locations was greater than 5 and there is no plausible threat that could drive the taxon to CR or RE in a very short time. No information was available on population size to inform assessments against Criteria C and D1; nor were any life-history models available to inform an assessment against Criterion E.

This is a small solitary bee.  Though always local in GB it has become very localised and rare south of the Severn to the Wash line (except for Cornwall) despite higher sampling in this area."
"Apoidea","Apidae","Andrena confinis: iso. Wood: 2022","","Species","LC","A2b
D2","false","false","Non-genuine","NS",1,0.0,32250.0,188.0,36.0,"false","false","true","false","true","The most threatening accepted population decline was inferred at 0% using expert inference (A2). This does not exceed the 30% decline required for qualification as VU. The EoO was not accepted, the AoO was not accepted. For Criterion D2, the number of locations was greater than 5 and there is no plausible threat that could drive the taxon to CR or RE in a very short time. No information was available on population size to inform assessments against Criteria C and D1; nor were any life-history models available to inform an assessment against Criterion E.

"
"Apoidea","Apidae","Andrena denticulata: iso. Perkins: 1919","","Species","LC","A2bc
A3b
B1ab
B2ab
D2","false","false","Non-genuine","NF",1,-2.0,300750.0,1984.0,318.0,"true","false","true","true","true","The most threatening accepted population change estimate is -2.0% (tetrad area), which does not exceed the 30% decline required for qualification as VU under Criterion A. The EoO (300,750 km²) exceeds the 20,000 km² VU threshold for criterion B1 and does not satisfy sufficient subcriteria to reach a threat status, and the AoO (1,984 km²) is below the 2,000 km² VU threshold for criterion B2 but does not satisfy sufficient subcriteria to reach a threat status. For Criterion D2, the number of locations was greater than 5 and there is no plausible threat that could drive the taxon to CR or RE in a very short time. No information was available on population size to inform assessments against Criteria C and D1; nor were any life-history models available to inform an assessment against Criterion E.

"
"Apoidea","Apidae","Andrena dorsata: iso. Perkins: 1919","","Species","LC","A2bc
A3bc
B1ab
B2ab
D2","false","false","Non-genuine","NF",1,8.0,148950.0,7912.0,664.0,"true","false","true","false","true","The most threatening accepted population change estimate is 8.0% (discrete Extent of Occurrence), which does not exceed the 30% decline required for qualification as VU under Criterion A. The EoO (148,950 km²) exceeds the 20,000 km² VU threshold for criterion B1 and does not satisfy sufficient subcriteria to reach a threat status, and the AoO (7,912 km²) exceeds the 2,000 km² VU threshold for criterion B2 and does not satisfy sufficient subcriteria to reach a threat status. For Criterion D2, the number of locations was greater than 5 and there is no plausible threat that could drive the taxon to CR or RE in a very short time. No information was available on population size to inform assessments against Criteria C and D1; nor were any life-history models available to inform an assessment against Criterion E.

"
"Apoidea","Apidae","Andrena falsifica: iso. Perkins: 1919","","Species","LC","A2bc
B1ab
B2ab
D2","false","false","Non-genuine","NS",1,0.0,36850.0,156.0,32.0,"true","false","true","false","true","The most threatening accepted population decline was inferred at 0% using expert inference (A2). This does not exceed the 30% decline required for qualification as VU. The EoO (36,850 km²) exceeds the 20,000 km² VU threshold for criterion B1 and does not satisfy sufficient subcriteria to reach a threat status, and the AoO (156 km²) is below the 500 km² EN threshold for criterion B2 but does not satisfy sufficient subcriteria to reach a threat status. For Criterion D2, the number of locations was greater than 5 and there is no plausible threat that could drive the taxon to CR or RE in a very short time. No information was available on population size to inform assessments against Criteria C and D1; nor were any life-history models available to inform an assessment against Criterion E.

"
"Apoidea","Apidae","Andrena ferox: iso. Perkins: 1919","","Species","LC","A2bc
B1ab
B2ab
D2","false","false","Non-genuine","NR",1,"",7750.0,64.0,10.0,"true","false","true","false","false","The most threatening accepted population decline was inferred at 0% using expert inference (A2). This does not exceed the 30% decline required for qualification as VU. The EoO (7,750 km²) is below the 20,000 km² VU threshold for criterion B1 but does not satisfy sufficient subcriteria to reach a threat status, and the AoO (64 km²) is below the 500 km² EN threshold for criterion B2 but does not satisfy sufficient subcriteria to reach a threat status. For Criterion D2, the number of locations was greater than 5 and there is no plausible threat that could drive the taxon to CR or RE in a very short time. No information was available on population size to inform assessments against Criteria C and D1; nor were any life-history models available to inform an assessment against Criterion E.

"
"Apoidea","Apidae","Andrena flavipes: iso. Perkins: 1919","","Species","LC","A2bc
A3bc
B1ab
B2ab
D2","false","false","Non-genuine","NF",1,20.0,168400.0,9260.0,720.0,"true","false","true","false","true","The most threatening accepted population change estimate is 20.0% (discrete Extent of Occurrence), which does not exceed the 30% decline required for qualification as VU under Criterion A. The EoO (168,400 km²) exceeds the 20,000 km² VU threshold for criterion B1 and does not satisfy sufficient subcriteria to reach a threat status, and the AoO (9,260 km²) exceeds the 2,000 km² VU threshold for criterion B2 and does not satisfy sufficient subcriteria to reach a threat status. For Criterion D2, the number of locations was greater than 5 and there is no plausible threat that could drive the taxon to CR or RE in a very short time. No information was available on population size to inform assessments against Criteria C and D1; nor were any life-history models available to inform an assessment against Criterion E.

"
"Apoidea","Apidae","Andrena florea: iso. Perkins: 1919","","Species","LC","A2bc
A3bc
B1ab
B2ab
D2","false","false","Non-genuine","NS",1,50.0,28600.0,1148.0,92.0,"true","false","true","false","false","The most threatening accepted population change estimate is 50.0% (discrete Extent of Occurrence), which does not exceed the 30% decline required for qualification as VU under Criterion A. The EoO (28,600 km²) exceeds the 20,000 km² VU threshold for criterion B1 and does not satisfy sufficient subcriteria to reach a threat status, and the AoO (1,148 km²) is below the 2,000 km² VU threshold for criterion B2 but does not satisfy sufficient subcriteria to reach a threat status. For Criterion D2, the number of locations was greater than 5 and there is no plausible threat that could drive the taxon to CR or RE in a very short time. No information was available on population size to inform assessments against Criteria C and D1; nor were any life-history models available to inform an assessment against Criterion E.

"
"Apoidea","Apidae","Andrena floricola: iso. Amiet et al: 2010","","Species","NE","","false","false","Non-genuine","",1,"","","","","false","false","false","false","false","

The presence of this species as a UK species is based on a single specimen record from 1939, though it is of dubious origin. As such it has not been evaluated."
"Apoidea","Apidae","Andrena fucata: iso. Perkins: 1919","","Species","LC","A2bc
B1ab
B2ab
D2","false","false","Non-genuine","NF",1,0.0,335600.0,2172.0,389.0,"true","false","true","true","true","The most threatening accepted population change estimate is 11.0% (discrete Extent of Occurrence), which does not exceed the 30% decline required for qualification as VU under Criterion A. The EoO (335,600 km²) exceeds the 20,000 km² VU threshold for criterion B1 and does not satisfy sufficient subcriteria to reach a threat status, and the AoO (2,172 km²) exceeds the 2,000 km² VU threshold for criterion B2 and does not satisfy sufficient subcriteria to reach a threat status. For Criterion D2, the number of locations was greater than 5 and there is no plausible threat that could drive the taxon to CR or RE in a very short time. No information was available on population size to inform assessments against Criteria C and D1; nor were any life-history models available to inform an assessment against Criterion E.

"
"Apoidea","Apidae","Andrena fulva: iso. Perkins: 1919","","Species","LC","A2bc
B1ab
B2ab
D2","false","false","Non-genuine","NF",1,9.0,232750.0,7744.0,902.0,"true","false","true","true","true","The most threatening accepted population change estimate is 9.0% (tetrad area), which does not exceed the 30% decline required for qualification as VU under Criterion A. The EoO (232,750 km²) exceeds the 20,000 km² VU threshold for criterion B1 and does not satisfy sufficient subcriteria to reach a threat status, and the AoO (7,744 km²) exceeds the 2,000 km² VU threshold for criterion B2 and does not satisfy sufficient subcriteria to reach a threat status. For Criterion D2, the number of locations was greater than 5 and there is no plausible threat that could drive the taxon to CR or RE in a very short time. No information was available on population size to inform assessments against Criteria C and D1; nor were any life-history models available to inform an assessment against Criterion E.

"
"Apoidea","Apidae","Andrena fulvago: iso. Perkins: 1919","","Species","LC","A2bc
B1ab
B2ab
D2","false","false","Non-genuine","NF",1,0.0,124750.0,928.0,159.0,"true","false","true","false","true","The most threatening accepted population change estimate is 72.0% (absolute record count), which does not exceed the 30% decline required for qualification as VU under Criterion A. The EoO (124,750 km²) exceeds the 20,000 km² VU threshold for criterion B1 and does not satisfy sufficient subcriteria to reach a threat status, and the AoO (928 km²) is below the 2,000 km² VU threshold for criterion B2 but does not satisfy sufficient subcriteria to reach a threat status. For Criterion D2, the number of locations was greater than 5 and there is no plausible threat that could drive the taxon to CR or RE in a very short time. No information was available on population size to inform assessments against Criteria C and D1; nor were any life-history models available to inform an assessment against Criterion E.

"
"Apoidea","Apidae","Andrena fuscipes: iso. Perkins: 1919","","Species","LC","A2bc
B1ab
B2ab
D2","false","false","Non-genuine","NF",1,-3.0,324050.0,2004.0,228.0,"true","false","true","true","true","The most threatening accepted population change estimate is -3.0% (discrete Extent of Occurrence), which does not exceed the 30% decline required for qualification as VU under Criterion A. The EoO (324,050 km²) exceeds the 20,000 km² VU threshold for criterion B1 and does not satisfy sufficient subcriteria to reach a threat status, and the AoO (2,004 km²) exceeds the 2,000 km² VU threshold for criterion B2 and does not satisfy sufficient subcriteria to reach a threat status. For Criterion D2, the number of locations was greater than 5 and there is no plausible threat that could drive the taxon to CR or RE in a very short time. No information was available on population size to inform assessments against Criteria C and D1; nor were any life-history models available to inform an assessment against Criterion E.

"
"Apoidea","Apidae","Andrena gravida: iso. Amiet et al: 2010","","Species","LC","A2bc
A3bc
B1ab
B2ab
D2","false","false","Non-genuine","NS",1,51.0,6900.0,152.0,23.0,"true","false","true","false","false","The most threatening accepted population change estimate is 51.0% (discrete Extent of Occurrence), which does not exceed the 30% decline required for qualification as VU under Criterion A. The EoO (6,900 km²) is below the 20,000 km² VU threshold for criterion B1 but does not satisfy sufficient subcriteria to reach a threat status, and the AoO (152 km²) is below the 500 km² EN threshold for criterion B2 but does not satisfy sufficient subcriteria to reach a threat status. For Criterion D2, the number of locations was greater than 5 and there is no plausible threat that could drive the taxon to CR or RE in a very short time. No information was available on population size to inform assessments against Criteria C and D1; nor were any life-history models available to inform an assessment against Criterion E.

"
"Apoidea","Apidae","Andrena haemorrhoa: iso. Amiet et al: 2010","","Species","LC","A2bc
A3bc
B1ab
B2ab
D2","false","false","Non-genuine","NF",1,6.0,376450.0,14780.0,1398.0,"true","false","true","true","true","The most threatening accepted population change estimate is 6.0% (discrete Extent of Occurrence), which does not exceed the 30% decline required for qualification as VU under Criterion A. The EoO (376,450 km²) exceeds the 20,000 km² VU threshold for criterion B1 and does not satisfy sufficient subcriteria to reach a threat status, and the AoO (14,780 km²) exceeds the 2,000 km² VU threshold for criterion B2 and does not satisfy sufficient subcriteria to reach a threat status. For Criterion D2, the number of locations was greater than 5 and there is no plausible threat that could drive the taxon to CR or RE in a very short time. No information was available on population size to inform assessments against Criteria C and D1; nor were any life-history models available to inform an assessment against Criterion E.

"
"Apoidea","Apidae","Andrena hattorfiana: iso. Perkins: 1919","","Species","LC","A2bc
B1ab
B2ab
D2","false","false","Non-genuine","NS",1,4.0,99250.0,616.0,93.0,"true","false","true","false","true","The most threatening accepted population change estimate is 4.0% (tetrad area), which does not exceed the 30% decline required for qualification as VU under Criterion A. The EoO (99,250 km²) exceeds the 20,000 km² VU threshold for criterion B1 and does not satisfy sufficient subcriteria to reach a threat status, and the AoO (616 km²) is below the 2,000 km² VU threshold for criterion B2 but does not satisfy sufficient subcriteria to reach a threat status. For Criterion D2, the number of locations was greater than 5 and there is no plausible threat that could drive the taxon to CR or RE in a very short time. No information was available on population size to inform assessments against Criteria C and D1; nor were any life-history models available to inform an assessment against Criterion E.

"
"Apoidea","Apidae","Andrena helvola: iso. Perkins: 1919","","Species","LC","A2bc
B1ab
B2ab
D2","false","false","Non-genuine","NF",1,-11.0,255500.0,1932.0,317.0,"true","false","true","true","true","The most threatening accepted population change estimate is -11.0% (discrete Extent of Occurrence), which does not exceed the 30% decline required for qualification as VU under Criterion A. The EoO (255,500 km²) exceeds the 20,000 km² VU threshold for criterion B1 and does not satisfy sufficient subcriteria to reach a threat status, and the AoO (1,932 km²) is below the 2,000 km² VU threshold for criterion B2 but does not satisfy sufficient subcriteria to reach a threat status. For Criterion D2, the number of locations was greater than 5 and there is no plausible threat that could drive the taxon to CR or RE in a very short time. No information was available on population size to inform assessments against Criteria C and D1; nor were any life-history models available to inform an assessment against Criterion E.

"
"Apoidea","Apidae","Andrena humilis: iso. Perkins: 1919","","Species","LC","A2bc
B1ab
B2ab
D2","false","false","Non-genuine","NF",1,-6.0,176850.0,1352.0,232.0,"true","false","true","false","true","The most threatening accepted population change estimate is -6.0% (tetrad area), which does not exceed the 30% decline required for qualification as VU under Criterion A. The EoO (176,850 km²) exceeds the 20,000 km² VU threshold for criterion B1 and does not satisfy sufficient subcriteria to reach a threat status, and the AoO (1,352 km²) is below the 2,000 km² VU threshold for criterion B2 but does not satisfy sufficient subcriteria to reach a threat status. For Criterion D2, the number of locations was greater than 5 and there is no plausible threat that could drive the taxon to CR or RE in a very short time. No information was available on population size to inform assessments against Criteria C and D1; nor were any life-history models available to inform an assessment against Criterion E.

"
"Apoidea","Apidae","Andrena labialis: iso. Perkins: 1919","","Species","LC","A2bc
B1ab
B2ab
D2","false","false","Non-genuine","NF",1,37.0,126000.0,1804.0,248.0,"true","false","true","false","true","The most threatening accepted population change estimate is 37.0% (discrete Extent of Occurrence), which does not exceed the 30% decline required for qualification as VU under Criterion A. The EoO (126,000 km²) exceeds the 20,000 km² VU threshold for criterion B1 and does not satisfy sufficient subcriteria to reach a threat status, and the AoO (1,804 km²) is below the 2,000 km² VU threshold for criterion B2 but does not satisfy sufficient subcriteria to reach a threat status. For Criterion D2, the number of locations was greater than 5 and there is no plausible threat that could drive the taxon to CR or RE in a very short time. No information was available on population size to inform assessments against Criteria C and D1; nor were any life-history models available to inform an assessment against Criterion E.

"
"Apoidea","Apidae","Andrena labiata: iso. Amiet et al: 2010","","Species","LC","A2bc
B1ab
B2ab
D2","false","false","Non-genuine","NF",1,12.0,180150.0,2240.0,291.0,"true","false","true","false","true","The most threatening accepted population change estimate is 12.0% (discrete Extent of Occurrence), which does not exceed the 30% decline required for qualification as VU under Criterion A. The EoO (180,150 km²) exceeds the 20,000 km² VU threshold for criterion B1 and does not satisfy sufficient subcriteria to reach a threat status, and the AoO (2,240 km²) exceeds the 2,000 km² VU threshold for criterion B2 and does not satisfy sufficient subcriteria to reach a threat status. For Criterion D2, the number of locations was greater than 5 and there is no plausible threat that could drive the taxon to CR or RE in a very short time. No information was available on population size to inform assessments against Criteria C and D1; nor were any life-history models available to inform an assessment against Criterion E.

"
"Apoidea","Apidae","Andrena lapponica: iso. Perkins: 1919","","Species","NT","A3b","false","false","Non-genuine","NF",1,19.0,249350.0,1204.0,201.0,"true","false","true","true","true","The most threatening accepted population change estimate is 10.0% (tetrad area), which does not exceed the 30% decline required for qualification as VU under Criterion A. Expert inference has been used to assess this taxon as NT under the basis of expected decline of *Vaccinium* over the southern range. This decline is expected to be produced by the warming climate reducing areas of suitability for *Vaccinium*, which is known to be highly responsive to such changes [(Hirabayashi et al, 2022)](https://doi.org/10.1016/j.scitotenv.2022.157341). There is potential for *Vaccinium* to reach such low densities in the southern range of *A. lapponcia* that the region ceases to be able to support a viable population. Whilst reviewers noted that this taxon, and its food plant, remain common in northern areas of this assessment, the Red List criteria include *extent of habitat*. As such, the assessment of NT was maintained specifically under projected increased severity of this threat factor.

The EoO (249,350 km²) exceeds the 20,000 km² VU threshold for criterion B1 and does not satisfy sufficient subcriteria to reach a threat status, and the AoO (1,204 km²) is below the 2,000 km² VU threshold for criterion B2 and does not satisfy sufficient subcriteria to reach a threat status. For Criterion D2, the number of locations was greater than 5 and there is no plausible threat that could drive the taxon to CR or RE in a very short time. No information was available on population size to inform assessments against Criteria C and D1; nor were any life-history models available to inform an assessment against Criterion E.

This medium sized solitary bee species has always been uncommon and localised south of the Severn to the Wash line. Even in areas with suitable habitat and favoured genus of forage plants (Vaccinium – usually V. myrtillis) there have been localised losses even in the core population areas and there is a risk of climate change reducing viable habitat areas and host plants."
"Apoidea","Apidae","Andrena lathyri: iso. Amiet et al: 2010","","Species","RE","A2","false","false","Non-genuine","EX",1,0.0,"","","","false","false","false","false","false","

Always a very rare bee (the largest of 4 species in the Taeniandrena sub genus recorded for the UK) with 20th Century Records from 1950 – 1990 from only 2 locations. The 1950 record was from Somerset (Moorlinch – exact site unknown) – all other records from 1970 – 1990 were from the grassy bank of an old, abandoned railway line in Wiltshire (Burbage). The record from 1990 showed that the species might cling on in this very restricted area but despite repeated visits to this site and Moorlinch it has never been found since and it has been evaluated as RE."
"Apoidea","Apidae","Andrena lepida: iso. Amiet et al: 2010","","Species","RE","A2","false","false","Non-genuine","EX",1,"","","","","false","false","false","false","false","

Although widespread in Central and Southern Europe this bee – very similar to the common and widespread A. dorsata - has been recorded in GB only 3 times in a twenty-year period (1931-1951) - Berkshire (Aldworth) and Dorset (Witchampton and Badbury Rings). Despite targeted survey effort since, the last record is 1951 (Dorset, Badbury Rings) and thus the species is considered RE."
"Apoidea","Apidae","Andrena marginata: iso. Perkins: 1919","","Species","LC","A2bc
B1ab
B2ab
D2","false","false","Non-genuine","NS",1,28.0,263400.0,444.0,65.0,"true","false","true","true","true","The most threatening accepted population change estimate is 28.0% (discrete Extent of Occurrence), which does not exceed the 30% decline required for qualification as VU under Criterion A. The EoO (263,400 km²) exceeds the 20,000 km² VU threshold for criterion B1 and does not satisfy sufficient subcriteria to reach a threat status, and the AoO (444 km²) is below the 500 km² EN threshold for criterion B2 but does not satisfy sufficient subcriteria to reach a threat status. For Criterion D2, the number of locations was greater than 5 and there is no plausible threat that could drive the taxon to CR or RE in a very short time. No information was available on population size to inform assessments against Criteria C and D1; nor were any life-history models available to inform an assessment against Criterion E.

"
